Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average power (w),Max power (w),Min power (w),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Unknown duration (ms),Walking duration (ms),Running duration (ms),Stationary biking duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),REM sleeping duration (ms),Awake mid-sleeping duration (ms)
2018-12-05,104,1702.8137879903115,12715.020951867104,69.0,69,,,,-23.5663981,-46.7054339,-23.5397776,-46.6502492,,,,1.3360695127139153,30.376785278320312,0.042002271860837936,2947,,,,4011397,78901077,,1985894,323172,,,,,,,
2018-12-06,66,1581.2969067559104,8858.277513980865,41.0,41,,,,-23.5582511,-46.7129551,-23.5344992,-46.6614485,,,,1.0642598210735523,6.618030071258545,0.06059163436293602,2514,,,,2160016,80349074,,2079747,,,,,,,,
2018-12-07,141,1615.5739528732065,21922.95543575287,101.0,98,,,,-23.6375021,-46.7084397,-23.5358097,-46.6128731,,,,1.6624163212618237,3.9224307537078857,0.2667335867881775,5701,57.29999923706055,57.29999923706055,57.29999923706055,4998736,74772980,,917871,,,,,,,,
2018-12-08,2,1364.3547587258486,11.711700439453125,,,,,,,,,,,,,1.0402063389064742,2.1663267612457275,0.5095961689949036,290,,,,,86386468,,13532,,,,,,,,
2018-12-09,69,1677.529610021451,5710.534976601601,41.0,32,,,,-23.5418913,-46.7315039,-23.5342162,-46.7079353,,,,0.7587913381548563,8.807933807373047,0.021142503246665,4903,,,,1203492,78812301,,5670535,,,,,,,,
2018-12-10,128,1726.0290432133647,12551.670069098473,88.0,80,,,,-23.5593634,-46.7100417,-23.531869,-46.6603271,,,,1.0900195915436957,9.501575469970703,0.051172636449337006,5905,,,,3958967,76971874,,3620721,,,,,,,,
2018-12-11,201,1933.4046382924598,18969.46538043022,151.0,149,,,,-23.5681927,-46.7360602,-23.5260685,-46.6503998,,,,1.5558290354058073,11.751348495483398,0.04118512198328972,5852,,,,8257693,69036025,,5208470,,,,,,,,
2018-12-12,139,1702.7471574915505,15908.510637879372,96.0,90,,,,-23.5541092,-46.7194171,-23.517523,-46.6467206,,,,2.1981705590342786,7.694785118103027,0.1520545929670334,9424,,,,2520277,78115609,,4772175,,,,,,,,
2018-12-13,180,1926.8766570717069,18892.35820734501,113.0,108,,,,-23.5706025,-46.7089226,-23.5357943,-46.6446072,,,,1.2882989229229302,9.93343448638916,0.04143323376774788,10725,,,,3848667,70254514,,8474898,,,,,,,,
2018-12-14,352,2524.4245988278144,36678.13711130619,207.0,189,,,,-23.636804,-46.7023723,-23.5405805,-46.6361309,,,,0.7835292259746306,9.336334228515625,0.032320328056812286,17343,57.79999923706055,57.79999923706055,57.79999923706055,8650734,56052878,,13595152,851507,,,,,,,
2018-12-15,158,1948.011053064735,7704.361349880695,100.0,82,,,,-24.9665916,-53.5059409,-23.0070254,-46.6669538,,,,8.507032211764127,141.54449462890625,0.026617294177412987,15492,,,,383491,54024044,,8984653,1476460,,,,,,,
2018-12-16,113,1707.1338729401632,5014.952695131302,43.0,43,,,,-24.9470817,-53.4270725,-24.94705,-53.4269696,,,,1.1379739561996047,17.687755584716797,0.287205308675766,10183,,,,,71890969,,7491492,,,,,,,,
2018-12-17,44,1593.7066462645857,2175.227075576782,12.0,12,,,,-25.487249,-53.6120673,-25.476476,-53.6013179,,,,5.365128524337403,33.45293045043945,0.1771433800458908,3975,,,,,56457446,,5058060,,,,,,,,
2018-12-18,99,1917.3559027841177,9700.226556897163,133.0,70,,,,-24.9927473,-53.5122696,-23.0027242,-46.6666319,,,,7.556270907128852,108.361083984375,0.08032077550888062,13388,,,,,59126684,,5145807,2295042,,,,,,,
2018-12-19,94,1625.6494315034233,6132.043740153313,57.0,54,,,,-23.5706029,-46.6952224,-23.5545172,-46.6564197,,,,1.0756486286681586,7.052504062652588,0.02912757359445095,4716,58.29999923706055,58.29999923706055,58.29999923706055,2661871,78055880,,2719672,,,,,,,,
2018-12-20,109,1621.932309183659,3501.294868826866,44.0,33,,,,-23.5612416,-46.6638055,-23.5556058,-46.6579709,,,,0.6246286070902443,1.7368401288986206,0.03285447135567665,9509,,,,,77185724,,5437946,,,,,,,,
2018-12-21,162,1844.2406395371956,16038.26086473465,104.0,100,,,,-23.5655409,-46.7109053,-23.5016815,-46.6516879,,,,1.0387796135577574,6.932409763336182,0.06150570511817932,6648,58.20000076293945,58.20000076293945,58.20000076293945,5205449,68037096,,4371490,168027,,,,,,,
2018-12-22,167,1816.0670024268425,25138.45320188999,119.0,117,,,,-23.4857163,-51.9390283,-22.8056352,-49.5316358,,,,8.974584121813892,25.45494270324707,0.2569230794906616,4981,,,,6603486,38646406,,2661319,,,,,,,,
2018-12-23,41,1521.6616050904156,386.0938948392868,,,,,,,,,,,,,0.5548176214397164,2.888601779937744,0.27035239338874817,3451,,,,,80101799,,3269550,,,,,,,,
2018-12-24,205,2083.5998997839642,11183.13485777378,95.0,95,,,,-23.4914297,-51.9330832,-23.4186433,-51.790151,,,,1.045278029952112,9.676994323730469,0.1557275950908661,13074,,,,3297132,63022997,,12179664,,,,,,,,
2018-12-25,201,1946.4084591910648,15429.5127389431,154.0,152,,,,-23.4863607,-51.921026,-23.4237345,-51.7766791,,,,3.206197078396644,26.354053497314453,0.04333439841866493,5052,,,,8802956,61010178,,3646271,,,,,,,,
2018-12-26,110,1431.6470352871356,2244.325245410204,27.0,24,,,,-23.5731634,-46.6966991,-23.5720606,-46.6954189,,,,1.3419528397254596,8.857542991638184,0.17581328749656677,9107,57.29999923706055,57.29999923706055,57.29999923706055,,54910716,,3100177,,,,,,,,
2018-12-27,142,1674.4311884533458,5899.084664821625,66.0,54,,,,-23.5657386,-46.7084535,-23.5356631,-46.6425427,,,,0.8327032326518041,5.155985355377197,0.10858620703220367,13044,58.099998474121094,58.099998474121094,58.099998474121094,,75310776,,6886427,,,,,,,,
2018-12-28,154,2082.40762595699,18290.438143968582,149.0,99,,,,-23.5705696,-46.7391101,-23.5307719,-46.6994256,,,,1.9574068449242936,10.295435905456543,0.15825800597667694,15825,56.400001525878906,56.400001525878906,56.400001525878906,1543816,74535675,,4659699,3017003,,,,,,,
2018-12-29,56,1426.8656412888727,2838.355586886406,29.0,27,,,,-23.5391457,-46.7086899,-23.5235569,-46.6667212,,,,1.7242130863339264,11.712030410766602,0.2005504071712494,5371,,,,,74940102,,3124998,,,,,,,,
2018-12-30,292,2662.7282379974476,21674.895755052567,191.0,130,,,,-23.487168,-51.9716311,-22.8063595,-49.5317759,,,,5.450872955923821,27.512914657592773,0.1698092669248581,29456,,,,,34574788,,17110735,3103514,,,,,,,
2018-12-31,190,2520.2818205584886,21706.51471612386,216.0,131,,,,-23.4895218,-51.9497341,-23.4238356,-51.7890268,,,,1.2626213378723754,4.088274002075195,0.11079368740320206,25057,,,,,69873164,,9198560,3816311,,,,,,,
2019-01-01,149,1791.2876045091937,8522.760192280937,130.0,77,,,,-23.4861223,-51.7954976,-8.1317275,-34.9180349,,,,20.97639644103249,234.09288024902344,0.04273379221558571,15848,,,,,65573820,,7915482,768744,,,,,,,
2019-01-02,191,2397.0587531374767,16774.63864248991,149.0,90,,,,-9.7702801,-35.8406207,-9.5138126,-35.6958273,,,,2.7055905234701876,21.122360229492188,0.10773762315511703,21522,,,,,59748256,,10817859,3450182,,,,,,,
2019-01-03,201,1947.8868820867306,14103.785433658864,107.0,97,,,,-10.0310026,-36.0192582,-9.6151814,-35.6882244,,,,2.43027299764474,25.29897689819336,0.042838916182518005,14142,,,,2509116,55427492,,11579312,,,,,,,,
2019-01-04,65,1567.669452332077,3496.5236854553223,50.0,37,,,,-9.6566913,-35.7074437,-9.6459773,-35.6985858,,,,1.095142647668463,13.913018226623535,0.3184107840061188,7055,,,,,74152082,,4855262,,,,,,,,
2019-01-05,143,1770.2853778702226,6381.153154373169,54.0,54,,,,-9.6512141,-35.7076373,-9.0058312,-35.2163308,,,,2.9342517900494127,25.09491539001465,0.02415575087070465,12540,,,,,58890008,,9473548,,,,,,,,
2019-01-06,155,2168.7195767319004,13731.741150140762,112.0,73,,,,-9.0102264,-35.2187373,-8.5031771,-35.0008811,,,,2.5290041070394302,23.0128116607666,0.2964497208595276,17365,,,,,62549175,,9200877,2000071,,,,,,,
2019-01-07,255,3429.933850179032,40166.332397252074,349.0,192,,,,-8.5352396,-35.0076349,-8.1138051,-34.8912988,,,,1.703216824176316,25.126123428344727,0.1649133712053299,37617,,,,567663,61047477,,5725450,9239438,,,,,,,
2019-01-08,434,2509.742475417389,38840.941062063226,287.0,256,,,,-8.1439642,-34.9538258,-8.0096766,-34.8879416,,,,1.3211604680901614,36.937015533447266,0.21171048283576965,33676,,,,5134881,54146171,,19723204,,,,,,,,
2019-01-09,372,2202.765251072268,17408.519848704338,189.0,172,,,,-8.1343143,-34.9031079,-8.0135628,-34.8488739,,,,1.318728824792396,12.799529075622559,0.11911070346832275,30792,,,,1901109,54224230,,17447610,,,,,,,,
2019-01-10,117,1660.1654761160141,4083.9114007651806,30.0,27,,,,-23.6265127,-46.7087856,-8.1305762,-34.9004479,,,,0.7677115829931315,2.7586772441864014,0.03361576050519943,9600,58.0,58.0,58.0,,61387943,,7903438,,,,,,,,
2019-01-11,71,1537.1082404093686,2210.051372051239,11.0,11,,,,-23.5685013,-46.7087692,-23.5363344,-46.66154,,,,0.8674276411097652,7.7916340827941895,0.1529160887002945,5764,,,,,80591559,,3810990,,,,,,,,
2019-01-12,37,1499.2720501434433,719.5164585113525,,,,,,,,,,,,,1.4292590421140252,3.9466421604156494,0.2561318874359131,2332,,,,,77770381,,3200904,,,,,,,,
2019-01-13,127,1720.17548832758,7409.545823812485,82.0,81,,,,-23.5547856,-46.731003,-23.5351242,-46.698863,,,,1.4078310280427568,8.615604400634766,0.013041876256465912,4165,,,,4601396,76586073,,3041005,,,,,,,,
2019-01-14,105,1581.4850075618447,9100.50363779068,66.0,54,,,,-23.5633353,-46.7356739,-23.5455567,-46.6606864,,,,1.016503074714108,14.345015525817871,0.1412026435136795,7546,59.0,59.0,59.0,1552381,78400431,,2754780,,,,,,,,
2019-01-15,128,1619.2210370890746,4760.218913733959,47.0,40,,,,-23.5655809,-46.6993557,-23.5411309,-46.6463114,,,,1.0096975095355087,5.1508097648620605,0.25223320722579956,9227,57.79999923706055,57.79999923706055,57.79999923706055,1141066,72069947,,4175211,,,,,,,,
2019-01-16,140,1598.9649743155298,6827.393874287605,35.0,31,,,,-23.5730408,-46.7312016,-23.5311018,-46.6613216,,,,1.197060227290795,4.2659454345703125,0.25159409642219543,9366,57.599998474121094,57.599998474121094,57.599998474121094,955766,75207925,,4713472,,,,,,,,
2019-01-17,102,1565.3697764841827,4905.498358845711,63.0,51,,,,-23.5555239,-46.6625108,-23.5158925,-46.6230354,,,,0.8784886369849596,8.274020195007324,0.2656916677951813,9079,57.900001525878906,57.900001525878906,57.900001525878906,583940,76382829,,3715680,,,,,,,,
2019-01-18,83,1646.041468879077,3786.6204168759286,24.0,23,,,,-23.5595543,-46.6618575,-23.5539327,-46.6575981,,,,1.1918818579553154,10.838692665100098,0.08040490001440048,6915,,,,,73742985,,6096654,,,,,,,,
2019-01-19,17,1459.6100701751948,534.2426769733429,1.0,1,,,,,,,,,,,0.7289597752047305,7.318703651428223,0.2964497208595276,1266,58.20000076293945,58.20000076293945,58.20000076293945,,84356546,,1977739,,,,,,,,
2019-01-20,14,1438.9994729703963,307.77537870407104,,,,,,,,,,,,,0.8087368773995313,1.9704610109329224,0.05271636322140694,1228,,,,,83504633,,1989353,,,,,,,,
2019-01-21,110,1523.8704167211845,6850.836555480957,62.0,57,,,,-23.5580354,-46.7089406,-23.535766,-46.6617305,,,,2.154897789337061,8.901463508605957,0.13452856242656708,7574,58.0,58.0,58.0,1654704,78945930,,1477181,,,,,,,,
2019-01-22,120,1600.0295814637336,6645.352829970419,45.0,44,,,,-23.5607521,-46.7129721,-23.5258276,-46.6572833,,,,0.8631790679551774,5.311909198760986,0.27651312947273254,7831,58.0,58.0,58.0,1265225,77451199,,3699885,,,,,,,,
2019-01-23,190,1980.0437848708557,16507.831097602844,125.0,115,120.0755432036382,164.0,86.0,-23.5582479,-46.7081511,-23.5300355,-46.6576565,,,,1.326282980159723,15.348999977111816,0.028730293735861778,13785,57.54999923706055,57.79999923706055,57.29999923706055,2671605,42295756,,8123560,517374,,,,17160000,3900000,9240000,840000
2019-01-24,,1351.480223171057,,,,,,,,,,,,,,0.6857550144195557,0.6857550144195557,0.6857550144195557,125,57.79999923706055,57.79999923706055,57.79999923706055,,84840000,,,,,,,18120000,2340000,8160000,120000
2019-01-25,4,1371.8303505637837,,,,,,,,,,,,,,,,,347,,,,,64097081,,212793,,,,,10740000,4620000,5760000,180000
